label,m1m,m1s,m2m,m2s,m3m,m3s,m4m,m4s,m5m,m5s,m6m,m6s,m7m,m7s,m8m,m8s,m9m,m9s,m10m,m10s,m11m,m11s,m12m,m12s,centm,cents,rollm,rolls,tonnm,tonns,zcrm,zcrs,tempom,onsetm,pitchm,sam,sbm,kurtosis,meauto,skew,timerev
class_9,0.18261466642,0.410143736062,0.123046189863,0.498343456803,0.294687446493,0.0770878479493,0.318863651045,-0.0446629274403,0.170758708434,0.155025330754,-0.00803702598906,0.277927229213,0.124179105343,-0.0153152651626,0.296926592695,0.346791097319,0.322662314407,0.190621397607,0.420827619176,0.629105487836,0.286112688693,0.411819213445,-0.281587237706,0.778722963638,-0.340727998912,0.0978546657985,-0.469417723672,0.0470422411621,0.573554042694,0.431542392663,-0.259399823725,0.0165930936347,0.278977170509,0.131986315,-0.0505405405405,0.484887182327,-0.0599560234231,-0.0149300756459,0.254709306794,0.00207904646694,0.0821295235035
class_3,-0.159981901172,-0.260237245874,-0.230667267872,-0.251207991672,-0.122123304975,-0.232613486738,-0.252154884694,-0.218539379216,-0.146419086375,-0.167415891074,-0.126976419928,-0.144669624765,-0.150349731371,-0.183550688544,-0.104792867929,-0.165428317347,-0.114835684376,-0.163857592643,-0.152106127523,-0.110621192035,-0.131288214526,-0.232839405363,-0.117328700656,-0.148292023692,-0.00012005364223,-0.229631311033,0.0784379572417,-0.2205659332,-0.00609447108315,-0.119291078207,-0.0462175322501,-0.186440527204,-0.100403826293,0.512926315,-0.0505405405405,-0.0553979484001,-0.0600025902815,-0.0151266957083,0.00691000969124,0.000977063652545,0.00268147089343
class_1,0.381550963114,0.135770346341,0.382996063568,0.0892747474488,0.381240725415,-0.160324107124,0.300259720724,0.0630015424106,0.30110267613,-0.0722457567887,0.156046167052,-0.104159421082,0.15477326195,-0.112099619103,0.0640334306431,-0.158451402007,0.122534236536,-0.0429565674201,0.0490545108968,-0.122727297084,0.131964695351,-0.0490279098882,0.030051923333,-0.18606703407,-0.452269629946,0.0188762788688,-0.564446486499,-0.00800146372555,0.298922283576,-0.0633058849881,-0.340196727445,-0.0763328572898,0.278977170509,-0.153733685,-0.0505405405405,-0.0551235888265,0.559371551142,-0.00386372823574,-0.0371063108059,0.0206834915243,0.00523117521643
class_3,-0.188972823792,-0.137044185677,-0.0950423535372,-0.211385869984,-0.159842747526,-0.17506436137,-0.128715544294,-0.177559487201,0.00303013063223,-0.153773132491,-0.19999830545,-0.154531688615,-0.191554913822,-0.146354673308,-0.105844092695,-0.178449930084,-0.151930237865,-0.134484365526,-0.110163309749,-0.132356612116,-0.140257159554,-0.185601368742,-0.183059224769,-0.146036799192,0.0515786169634,-0.0665199877473,0.0644522143016,-0.0103724341219,-0.0581906114848,-0.160033303468,0.0506416586592,-0.0307951958354,0.0175749183769,-0.153733685,-0.0505405405405,-0.0553979484001,-0.0600375154253,-0.0151527524379,-0.00297957807291,0.000981966032855,0.00228540645623
class_4,-0.0213760072881,0.100118693302,0.162226938233,0.0237528082667,0.103454740866,0.198685030512,0.0392839597669,0.247249208564,-0.00461105398016,0.202372534563,-0.0117687880542,0.261802793861,0.123552731261,0.245232639906,0.0288104193928,0.38717085347,0.0140826980004,0.227525238533,-0.140635235343,0.353364137748,0.0563265922824,0.258424984963,0.222267513555,0.389324997057,0.00238325040815,-0.0394920086263,0.0219243585561,-0.0302932344127,0.0472771930522,0.385990321364,-0.0614679164393,-0.00807568387516,0.168619361341,0.068486315,-0.0505405405405,-0.0553979484001,-0.0599793068523,-0.0147244508745,-0.085600209474,-0.000577016256274,0.00319493745134
class_7,-0.17421380864,-0.203678135577,-0.289281745756,-0.222207657507,-0.272640163736,-0.17560902368,-0.258118557126,-0.220352075861,-0.277497431395,-0.134786903763,-0.0919315265502,-0.135967114741,-0.126055266416,-0.115315265163,-0.0621354834238,-0.190657078723,-0.144293594786,-0.142603907486,-0.15942269659,-0.127772169057,-0.0865670998471,-0.178110705843,-0.0108795424712,-0.149704636841,-0.205826342999,-0.228424668669,-0.276922652059,-0.197111922122,0.0968490452255,-0.0285877561125,-0.195287945166,-0.224771542555,-0.0363546525187,-0.153733685,-0.0505405405405,-0.0553776254687,-0.0599676651377,-0.0152185454646,0.0487557945684,0.000722247362519,0.00328218357695
class_9,0.180248538594,0.365413180286,0.136282664575,0.498883260931,0.19167660572,0.361026126605,0.270664531337,-0.0157212833245,0.0876322285263,0.293933008216,0.0305109538089,0.295847606517,0.126488254829,0.0144459419865,0.197110108214,0.21225732895,0.273422776768,0.296907247301,0.104890083293,0.126773574159,0.0445261053147,0.115067265593,0.044556584229,0.0714188862661,-0.275561241546,0.326128725863,-0.323229565365,0.363450565035,-0.158299094887,0.221005528965,-0.21088652693,0.24845235948,0.123768281916,0.000112315,-0.0505405405405,-0.0553877869344,0.592014918857,-0.0148686297201,-0.0453344357588,0.00214256466961,-0.0873301012925
class_10,0.263332423096,-0.128095187749,-0.338164673445,-0.13549969154,-0.154244423499,-0.135420348425,-0.0721908403075,-0.170803955239,-0.0526773080839,-0.0902264210925,-0.015696958649,-0.0708134640987,0.00381019451473,-0.103588045708,0.0743059112942,-0.160364901994,-0.0117329979427,-0.117841046898,0.00607276787232,-0.0977529977495,0.0881835951024,-0.121619497405,0.136847081708,-0.0949410946513,0.409411159916,0.0731265956124,0.379233712639,-0.158799829894,-0.0468456583737,-0.0874022705303,0.36055424098,0.0809423418993,-0.279766499534,-0.101101685,0.327837837838,-0.0553979484001,-0.0600258737107,0.0279744730425,0.0235427381707,-0.0496201262957,0.00338467236162
class_4,0.00948321923404,0.131252545773,0.346307923528,0.144848867697,-0.120746805514,0.342148025203,0.270597579505,0.147712740992,0.128114492513,0.178270553196,0.0739130301277,0.0797059925898,0.0186468256454,0.21267330794,0.0153718970917,0.483876199004,-0.0844011801976,0.257145885169,-0.0947998925939,0.227420953088,0.284879458751,0.265516985131,0.15287961286,0.289822509495,0.0633177135971,-0.0978967383404,0.0373743517194,-0.0904136053255,0.00472011872906,0.282083500342,0.0325789094385,0.0308673538885,-0.0363546525187,-0.153733685,-0.0235135135135,-0.0553877869344,-0.0600258737107,-0.0140975282023,-0.117411603655,-0.0314813394285,-0.00467298465306
class_9,0.26148168945,0.230254443827,0.204139178056,0.461302611624,0.141081857234,0.732295454185,0.476591008307,0.561428380679,-0.00307824149804,0.613278624767,0.129079977378,0.404189756884,0.0519773935302,0.388947846469,0.135089841718,0.377259904816,0.0838339067353,0.602871103143,-0.340660496567,0.831972054743,0.271434665195,0.598281466379,0.207133869495,0.758710944034,-0.247651733655,0.479064571765,-0.331121443406,0.422585356097,0.153390594369,0.164926025039,-0.144583347284,0.520410131343,-0.190093491804,0.096266315,0.111621621622,-0.0554487557285,0.715452018673,-0.0147218029381,-0.1188294657,-0.00174135439539,0.0031492930794
class_3,-0.179953425644,-0.224789110369,-0.168244366421,-0.190906729558,-0.0927383987954,-0.162767155541,-0.308084461286,-0.121498606489,-0.106977762208,-0.141036734666,-0.179080797033,-0.130836967513,-0.0984837450049,-0.118618810431,-0.0769763036583,-0.162072332753,-0.166290969189,-0.151284499341,0.00893876856126,-0.116174123498,-0.207093047982,-0.202988659094,-0.120058654047,-0.131830123975,0.0431202479981,-0.20912648912,0.130483439438,-0.19505010767,0.00999771570116,-0.117911784123,0.0163408494347,-0.158681106967,0.123768281916,0.346266315,-0.0505405405405,-0.0553979484001,-0.0599909485669,-0.0151291711407,0.0233722930525,0.000457162296395,0.00393714993095
class_5,0.0303332565123,-0.0284437656517,0.00755990606215,0.0545987584505,-0.021084887211,0.0569141905684,-0.153636503937,0.165645489946,0.0993227834273,-0.0523869867338,-0.116861380647,0.193088493088,0.0492465131497,-0.0543608262526,0.165044760732,-0.0442399847901,0.0512556991851,-0.0311501261491,0.0341081335859,-0.0042581438364,-0.0846497003812,0.112178709312,0.202044931989,0.030471691976,0.218180498329,-0.0614950106553,0.292433820735,-0.124378918493,-0.109932372773,-0.0695893358168,0.184044854711,0.0942255297892,0.0842060484408,-0.153733685,-0.0505405405405,-0.0552760108118,-0.0432734464132,-0.00584321166796,-0.005679549414,-0.00206381270396,0.00327247181105
class_9,0.0820542338168,0.503011240374,0.100753695101,0.322521540755,0.384509911635,-0.099382740286,0.416884852458,0.136351017376,0.145181330001,0.257904040746,0.0968998426978,0.0414602374548,0.053118141031,0.331923234691,-1.1490764382e-05,0.603396352084,0.135232997382,0.0389427781379,-0.149035740567,0.345386016059,0.0458168284934,0.228105635133,0.211271603729,0.524328683482,-0.0979199448029,0.0131831944277,-0.129173344617,0.228491210906,-0.0892650793134,0.304600181548,-0.0738054939886,-0.0823920200826,0.278977170509,-0.028733685,-0.0505405405405,-0.0554081098658,-0.0557417227409,-0.0147355773827,-0.0843030165392,-0.00055841913244,0.00482742317728
class_6,0.0695969222182,0.29057357664,0.282696480635,-0.00976645759967,0.107928364114,0.282235171172,0.108827075507,0.184484587223,0.139541952734,0.186815596169,0.138107755156,0.109268758809,0.205815144668,-0.0236913272781,0.159325858633,0.0545456786792,0.17537276236,-0.00467275283835,0.166720373797,-0.0166976629263,0.184709278769,0.146407751542,0.0805334699895,0.0965547263682,0.140826848325,0.0604649490639,0.155020397221,0.0821419009511,-0.0679975110291,-0.0914104755617,0.121821278387,0.170575678004,0.278977170509,-0.153733685,0.0575675675676,-0.0117036459339,-0.0599443817085,-0.0106113085576,0.00778712328612,0.00226684294099,0.00616367929473
